,id,wikiDataId,type,city,name,country,countryCode,region,regionCode,regionWdId,latitude,longitude,population
0,3350606,Q24668,CITY,Aixirivall,Aixirivall,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.46245,1.50209,1025
1,3216144,Q24656,CITY,Aixovall,Aixovall,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.47635833,1.48949167,69
2,3406038,Q4699394,CITY,Aixàs,Aixàs,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.48638889,1.46722222,0
3,397,Q1863,CITY,Andorra la Vella,Andorra la Vella,Andorra,AD,Andorra la Vella,07,Q2522163,42.507222222,1.522222222,24042
4,3360277,Q24475,CITY,Ansalonga,Ansalonga,Andorra,AD,Ordino,05,Q24272,42.568443,1.521571,0
5,3341362,Q24551,CITY,Anyós,Anyós,Andorra,AD,La Massana,04,Q24276,42.53459167,1.54165,1006
6,3361293,Q24478,CITY,Arans,Arans,Andorra,AD,Ordino,05,Q24272,42.58333333,1.51666667,0
7,866,Q24554,CITY,Arinsal,Arinsal,Andorra,AD,La Massana,04,Q24276,42.57198,1.4847,1419
8,3394034,Q24650,CITY,Aubinyà,Aubinyà,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.4528,1.493,0
9,3292906,Q24641,CITY,Bixessarri,Bixessarri,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.48251111,1.45860833,0
10,3481376,Q4944722,CITY,Bordes d'Envalira,Bordes d'Envalira,Andorra,AD,Canillo,02,Q24260,42.56666667,1.61666667,0
11,3641313,Q386802,CITY,Canillo,Canillo,Andorra,AD,Canillo,02,Q24260,42.566667,1.6,3292
12,3852308,Q5034280,CITY,Canòlic,Canòlic,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.47444444,1.45194444,0
13,3403329,Q24630,CITY,Certés,Certés,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.47527778,1.50583333,0
14,3851202,Q24379,CITY,El Forn,El Forn,Andorra,AD,Canillo,02,Q24260,42.53333333,1.56666667,99
15,408,Q24456,CITY,El Pas de la Casa,El Pas de la Casa,Andorra,AD,Encamp,03,Q24269,42.54277,1.73361,1927
16,3206457,Q24490,CITY,El Serrat,El Serrat,Andorra,AD,Ordino,05,Q24272,42.618123,1.538225,0
17,614,Q24413,CITY,El Tarter,El Tarter,Andorra,AD,Canillo,02,Q24260,42.58333333,1.65,747
18,3354198,Q24411,CITY,El Vilar,El Vilar,Andorra,AD,Canillo,02,Q24260,42.56666667,1.6,0
19,3489827,Q24417,CITY,Els Plans,Els Plans,Andorra,AD,Canillo,02,Q24260,42.580603,1.635486,38
20,3496486,Q1154347,CITY,Els Vilars d'Engordany,Els Vilars d'Engordany,Andorra,AD,Escaldes-Engordany,08,Q24286,42.51636,1.53356,0
21,3910222,Q989558,CITY,Encamp,Encamp,Andorra,AD,Encamp,03,Q24269,42.51666667,1.56666667,11223
22,3851452,Q746899,CITY,Engolasters,Engolasters,Andorra,AD,Escaldes-Engordany,08,Q24286,42.51147,1.560467,0
23,3200831,Q586510,CITY,Engordany,Engordany,Andorra,AD,Escaldes-Engordany,08,Q24286,42.511830555,1.540075,0
24,3282473,Q24556,CITY,Erts,Erts,Andorra,AD,La Massana,04,Q24276,42.56361111,1.495,0
25,3356743,Q24566,CITY,Escàs,Escàs,Andorra,AD,La Massana,04,Q24276,42.55,1.51666667,0
26,3482283,Q24629,CITY,Fontaneda,Fontaneda,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.4539,1.4575,110
27,3228107,Q24388,CITY,Incles,Incles,Andorra,AD,Canillo,02,Q24260,42.583,1.662,510
28,3420693,Q24625,CITY,Juberri,Juberri,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.438888888,1.491944444,0
29,2987553,Q24371,CITY,L'Aldosa de Canillo,L'Aldosa de Canillo,Andorra,AD,Canillo,02,Q24260,42.57777778,1.61944444,289
30,3467153,Q24540,CITY,L'Aldosa de la Massana,L'Aldosa de la Massana,Andorra,AD,La Massana,04,Q24276,42.54391,1.52289,594
31,3852981,Q6455591,CITY,L'Armiana,L'Armiana,Andorra,AD,Canillo,02,Q24260,42.53333333,1.56666667,0
32,3086756,Q24486,CITY,La Cortinada,La Cortinada,Andorra,AD,Ordino,05,Q24272,42.57667,1.51773,845
33,3056764,Q2536296,CITY,La Margineda,La Margineda,Andorra,AD,Andorra la Vella,07,Q2522163,42.4859,1.49045,155
34,3679189,Q3820973,CITY,La Massana,La Massana,Andorra,AD,La Massana,04,Q24276,42.544354,1.515427,7211
35,3264421,Q24447,CITY,Les Bons,Les Bons,Andorra,AD,Encamp,03,Q24269,42.53333333,1.58333333,0
36,759,Q1050185,CITY,Les Escaldes,Les Escaldes,Andorra,AD,Escaldes-Engordany,08,Q24286,42.5,1.53333333,15853
37,3383502,Q24483,CITY,Llorts,Llorts,Andorra,AD,Ordino,05,Q24272,42.596389,1.526638,0
