,id,wikiDataId,type,city,name,country,countryCode,region,regionCode,regionWdId,latitude,longitude,population
0,3264766,Q4663616,CITY,Abazai,Abazai,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.31861111,71.59305556,0
1,3282302,Q4663769,CITY,Abbas Khel Raghzai,Abbas Khel Raghzai,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.37,69.79,0
2,92232,Q170315,CITY,Abbottabad,Abbottabad,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.15,73.216666666,148587
3,3416977,Q306799,ADM2,Abbottabad District,Abbottabad District,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.09497,73.26043,1419072
4,3344983,Q25588910,ADM2,Abbottabad Tehsil,Abbottabad Tehsil,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.15583,73.21944,1332912
5,3017991,Q4665373,CITY,Abdul Hakeem,Abdul Hakeem,Pakistan,PK,Punjab,PB,Q4478,30.55195,72.12616,51494
6,3367697,Q4665491,CITY,Abdul Khel,Abdul Khel,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.399722222,70.913611111,0
7,3380078,Q4665969,CITY,Abdullah Bagh Kili,Abdullah Bagh Kili,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.4,69.69,0
8,3355257,Q4666018,CITY,Abdullah Kili,Abdullah Kili,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.83,70.07,0
9,3386710,Q4666045,CITY,Abdullah Nur Kaskai,Abdullah Nur Kaskai,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.42,70.01,0
10,3249747,Q4666211,CITY,Abdulwadamai,Abdulwadamai,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.51,69.84,0
11,3359666,Q4666237,CITY,Abdur Rahman Khel,Abdur Rahman Khel,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.56,69.65,0
12,3371798,Q4673639,CITY,Achh,Achh,Pakistan,PK,Punjab,PB,Q4478,32.86666667,74.13333333,0
13,3372167,Q4678167,CITY,Ad Mela,Ad Mela,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.97,70.21,0
14,3347091,Q4678292,CITY,Ada Punga,Ada Punga,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.49,69.61,0
15,3310409,Q4678346,CITY,Adad Banda,Adad Banda,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.91,71.57,0
16,3384539,Q4678804,CITY,Adam Burj,Adam Burj,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.37,69.83,0
17,3198274,Q4679335,CITY,Adam Khan Kili,Adam Khan Kili,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.33,70.12,0
18,3425114,Q4679344,CITY,Adam Kili,Adam Kili,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.29,70.53,0
19,3214042,Q4679760,CITY,Adam Shagai,Adam Shagai,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.91,71.47,0
20,3394908,Q15982521,ADM2,Adezai,Adezai,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.1667,71.6,0
21,3838037,Q4682797,CITY,Adil Garh,Adil Garh,Pakistan,PK,Punjab,PB,Q4478,32.31358,74.09607,0
22,91612,Q33529577,CITY,Adilpur,Adilpur,Pakistan,PK,Sindh,SD,Q37211,27.93697,69.31869,8247
23,3207404,Q4682867,CITY,Adin Shah Kot,Adin Shah Kot,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.98,70.19,0
24,3358534,Q4682955,CITY,Adira Mela,Adira Mela,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.57,70.01,0
25,3363107,Q4685851,CITY,Adu Garhi,Adu Garhi,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.6,70.93,0
26,3440408,Q4685852,CITY,Adu Kili,Adu Kili,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.68,70.45,0
27,3509511,Q112758366,CITY,Afghanabad,Afghanabad,Pakistan,PK,Punjab,PB,Q4478,31.41583,73.07396,0
28,3440537,Q4692363,CITY,Aghal,Aghal,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.72,70.79,0
29,3396401,Q4692402,CITY,Aghbargai Khullah,Aghbargai Khullah,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.4,69.95,0
30,3334314,Q4692404,CITY,Aghbazh,Aghbazh,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,31.54,69.99,0
31,3330520,Q4692474,CITY,Aghzaikas,Aghzaikas,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.41,69.48,0
32,3336206,Q4692477,CITY,Aghze Poya,Aghze Poya,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.16,70.53,0
33,3351392,Q4693666,CITY,Agra,Agra,Pakistan,PK,Punjab,PB,Q4478,30.484166666,72.678888888,0
34,3199668,Q4693677,CITY,Agra Kuz,Agra Kuz,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.115,71.6975,0
35,3326101,Q4694898,CITY,Ahad Koruna,Ahad Koruna,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.39,71.25,0
36,3385756,Q4695040,CITY,Ahdi,Ahdi,Pakistan,PK,Punjab,PB,Q4478,33.133333333,73.133333333,0
37,3212805,Q4695118,CITY,Ahin Posh,Ahin Posh,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.76277778,70.98222222,0
38,3272275,Q4695189,CITY,Ahli Kamboh,Ahli Kamboh,Pakistan,PK,Punjab,PB,Q4478,31.85,72.26666667,0
39,3340638,Q4695676,CITY,Ahmadwam,Ahmadwam,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.54,70.01,0
40,92573,Q1250201,CITY,Ahmedpur East,Ahmedpur East,Pakistan,PK,Punjab,PB,Q4478,29.14269,71.25771,128112
41,3422033,Q4696352,ADM2,Ahsanabad,Ahsanabad,Pakistan,PK,Sindh,SD,Q37211,24.83333333,67.16666667,0
42,3425127,Q4697118,CITY,Aima Bari,Aima Bari,Pakistan,PK,Punjab,PB,Q4478,33.03333333,73.7,0
43,3271948,Q4699739,CITY,Ajim Khan,Ajim Khan,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,32.43,69.47,0
44,3315477,Q4699881,CITY,Ajjowal,Ajjowal,Pakistan,PK,Punjab,PB,Q4478,32.5,73.3,0
45,3348401,Q4699911,CITY,Ajmera,Ajmera,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.672222222,73.019444444,0
46,3345291,Q4700486,CITY,Akbarpura,Akbarpura,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.055555555,71.721388888,0
47,3381074,Q4700782,CITY,Akhori,Akhori,Pakistan,PK,Punjab,PB,Q4478,33.6925,72.45333333,0
48,92329,Q2475251,CITY,Akora Khattak,Akora Khattak,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.00337,72.12561,20157
49,3744902,Q31302432,CITY,Akwal,Akwal,Pakistan,PK,Punjab,PB,Q4478,32.92946,72.36476,0
50,3349019,Q4705900,CITY,Alamgarh,Alamgarh,Pakistan,PK,Punjab,PB,Q4478,32.683333333,74.166666666,0
51,3404560,Q4724948,CITY,Ali Khan,Ali Khan,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.98944444,72.96861111,0
52,91978,Q4726837,CITY,Alipur Chatha,Alipur Chatha,Pakistan,PK,Punjab,PB,Q4478,32.9333,73.2167,55245
53,3450999,Q4727571,CITY,Alizai,Alizai,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.53613,70.34607,3334
54,3227192,Q3695573,ADM2,Allai Tehsil,Allai Tehsil,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.82198,73.125,180414
55,3212262,Q4733368,ADM2,Alluwali,Alluwali,Pakistan,PK,Punjab,PB,Q4478,32.365833333,71.401388888,0
56,3247380,Q4734109,ADM2,Aloch,Aloch,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.733333333,72.683333333,0
57,3395006,Q4734741,CITY,Alpa Kalan,Alpa Kalan,Pakistan,PK,Punjab,PB,Q4478,31.13777778,73.6675,0
58,3318510,Q3300743,CITY,Aminpur,Aminpur,Pakistan,PK,Punjab,PB,Q4478,31.483333333,72.833333333,0
59,3361283,Q4748604,CITY,Amra Kalan,Amra Kalan,Pakistan,PK,Punjab,PB,Q4478,32.66594,73.67048,0
60,3391792,Q4748997,CITY,Amuri,Amuri,Pakistan,PK,Balochistan,BA,Q163239,29.14,63.36,0
61,3380328,Q4754698,CITY,Andrah Kalan,Andrah Kalan,Pakistan,PK,Azad Kashmir,JK,Q200130,33.18333333,73.81666667,0
62,3422342,Q4761895,CITY,Angah,Angah,Pakistan,PK,Punjab,PB,Q4478,32.6,72.083333333,0
63,91910,Q2984767,CITY,Arif Wala,Arif Wala,Pakistan,PK,Punjab,PB,Q4478,30.29058,73.06574,95655
64,3394905,Q732257,CITY,Askole,Askole,Pakistan,PK,Gilgit-Baltistan,GB,Q200697,35.68222222,75.8175,0
65,3194413,Q4807603,CITY,Asota,Asota,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.23333333,72.35,0
66,3437343,Q4815616,CITY,Athmuqam,Athmuqam,Pakistan,PK,Azad Kashmir,JK,Q200130,34.57173,73.89724,0
67,3698822,Q1973073,CITY,Attock,Attock,Pakistan,PK,Punjab,PB,Q4478,33.766666666,72.366666666,97374
68,3298992,Q2283119,ADM2,Attock District,Attock District,Pakistan,PK,Punjab,PB,Q4478,33.8738889,72.31111112,1274935
69,3323071,Q379034,CITY,Attock Khurd,Attock Khurd,Pakistan,PK,Punjab,PB,Q4478,33.89205,72.23862,0
70,92247,Q3248233,ADM2,Attock Tehsil,Attock Tehsil,Pakistan,PK,Punjab,PB,Q4478,33.76671,72.35977,434705
71,3304695,Q4821630,CITY,Aujla Khurd,Aujla Khurd,Pakistan,PK,Punjab,PB,Q4478,32.33333333,74.15,0
72,3507900,Q4822759,CITY,Ausia,Ausia,Pakistan,PK,Punjab,PB,Q4478,33.995277777,73.474444444,0
73,3355108,Q4829785,CITY,Awan Kalan,Awan Kalan,Pakistan,PK,Punjab,PB,Q4478,30.733333333,73.783333333,0
74,3856618,Q4829786,CITY,Awan Sharif,Awan Sharif,Pakistan,PK,Punjab,PB,Q4478,32.84416667,74.23361111,0
75,3268530,Q15195247,CITY,Awan Town,Awan Town,Pakistan,PK,Punjab,PB,Q4478,33.61666667,72.98333333,0
76,3293945,Q4133068,CITY,Awaran,Awaran,Pakistan,PK,Balochistan,BA,Q163239,26.27,65.14,0
77,159589,Q250800,ADM2,Awaran District,Awaran District,Pakistan,PK,Balochistan,BA,Q163239,26.166666666,65.5,178958
78,3839101,Q125461718,CITY,Awi,Awi,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,36.00955,71.75947,0
79,3417905,Q4838918,CITY,Bachro,Bachro,Pakistan,PK,Sindh,SD,Q37211,28.2667,68.7333,0
80,92193,Q4840703,CITY,Baddomalhi,Baddomalhi,Pakistan,PK,Punjab,PB,Q4478,31.99283,74.66833,18435
81,91836,Q2625289,CITY,Badin,Badin,Pakistan,PK,Sindh,SD,Q37211,24.655833333,68.838333333,117455
82,3434682,Q2347462,ADM2,Badin District,Badin District,Pakistan,PK,Sindh,SD,Q37211,24.666666666,69.0,1947081
83,3419405,Q4841013,CITY,Badlot,Badlot,Pakistan,PK,Punjab,PB,Q4478,32.916666666,73.6,0
84,3804907,Q106652583,ADM2,Badoki Saikhwan,Badoki Saikhwan,Pakistan,PK,Punjab,PB,Q4478,32.13401,73.89177,0
85,3303256,Q4841114,CITY,Badrashi,Badrashi,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.98861111,72.025,0
86,92234,Q4079737,CITY,Baffa,Baffa,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.4377,73.22368,14047
87,3436671,Q3321319,CITY,Bagh,Bagh,Pakistan,PK,Azad Kashmir,JK,Q200130,33.98111,73.77608,33548
88,3393704,Q2571473,ADM2,Bagh District,Bagh District,Pakistan,PK,Azad Kashmir,JK,Q200130,33.9735,73.7918,0
89,3349880,Q4841779,CITY,Baghati,Baghati,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.08,73.08,0
90,3351886,Q4841831,CITY,Baghdada,Baghdada,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.13,72.02,0
91,3211333,Q4841836,CITY,Baghdara,Baghdara,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.08,73.05,0
92,3239802,Q4842047,ADM2,Bagnotar,Bagnotar,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.116666666,73.333333333,0
93,3283244,Q4842095,ADM2,Bagra,Bagra,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,33.966666666,73.066666666,0
94,3369174,Q4842114,CITY,Bagrianwala,Bagrianwala,Pakistan,PK,Punjab,PB,Q4478,32.55,73.866666666,0
95,3248444,Q4842184,CITY,Bagwal Bandi,Bagwal Bandi,Pakistan,PK,Khyber Pakhtunkhwa,KP,Q183314,34.08,73.06,0
96,3227131,Q4842280,CITY,Bahadurpura,Bahadurpura,Pakistan,PK,Punjab,PB,Q4478,31.06361111,74.39833333,0
97,3430845,Q4842489,CITY,Baharwal,Baharwal,Pakistan,PK,Punjab,PB,Q4478,32.766666666,73.933333333,0
