university,country,domain,city,ranking,address,foundation year,description,total students,undergraduate students,graduate students,international students,latitude,longitude,logo link
COMSATS University Islamabad,Pakistan,comsats.edu.pk,Islamabad,679,"Islamabad, Pakistan ",1998.0,,33030.0,,,330.0,33.69,73.0551,https://www.shanghairanking.cn/_uni/logo-jpg/c7ec5196f00.jpg
University of the Punjab,Pakistan,pu.edu.pk,Lahore,1048,Quaid-e-Azam Campus ,1882.0,"Established in 1882 at Lahore, the University of the Punjab is the largest and the oldest seat of higher learning in Pakistan. It was the first to be established in the sub-continent in Muslim majority area. The fact that two Nobel laureates are from this University speaks volumes for its academic and research excellence. The University comprises of 4 Campuses, 13 Faculties, 9 constituent colleges, over 63 Departments, Centres, Institutes, and 500+ affiliated colleges. It has over 800 permanent faculty members involved in teaching/research and over 30,000 on campus students. Annually there are about 350 exams for 450,000 students.",27907.0,,,,31.549723,74.34361,https://www.shanghairanking.cn/_uni/logo/835e3e320.png
Abdul Wali Khan University Mardan,Pakistan,,Mardan,1013,,,,,,,,34.201946,72.052536,https://www.shanghairanking.cn/_uni/logo/b1f2c3b8b.png
Aga Khan University,Pakistan,aku.edu,Karachi,1083,,,,,,,,24.9056,67.0822,
National University of Sciences and Technology,Pakistan,nust.edu.pk,Islamabad,1146,"National University of Sciences and Technology (NUST) Sector H-12, Islamabad, Pakistan.",1991.0,,,,,,33.69,73.0551,https://www.shanghairanking.cn/_uni/logo/062358790.png
University of Agriculture Faisalabad,Pakistan,uaf.edu.pk,Faisalabad,1237,,,,,,,,31.416668,73.083336,
Government College University Faisalabad,Pakistan,gcuf.edu.pk,Faisalabad,1439,,,,,,,,31.416668,73.083336,
University of Lahore,Pakistan,uol.edu.pk,Lahore,1450,,,,,,,,31.549723,74.34361,https://www.shanghairanking.cn/_uni/logo/21fb4fc44.png
University of Peshawar,Pakistan,uop.edu.pk,Peshawar,1559,,,,,,,,34.008,71.57849,
Bahauddin Zakariya University,Pakistan,bzu.edu.pk,Multan,1728,,,,,,,,30.195557,71.47528,
University of Karachi,Pakistan,uok.edu.pk,Karachi,1898,,,,,,,,24.9056,67.0822,
Islamia University of Bahawalpur,Pakistan,iub.edu.pk,Bahawalpur,1935,,,,,,,,29.4,71.683334,
Quaid-i-Azam University,Pakistan,qau.edu.pk,Islamabad,809,,,,,,,,33.69,73.0551,
