id,wikiDataId,type,city,name,country,countryCode,region,regionCode,regionWdId,latitude,longitude,population
3350606,Q24668,CITY,Aixirivall,Aixirivall,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.46245,1.50209,1025
3216144,Q24656,CITY,Aixovall,Aixovall,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.47635833,1.48949167,69
3406038,Q4699394,CITY,Aixàs,Aixàs,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.48638889,1.46722222,0
397,Q1863,CITY,Andorra la Vella,Andorra la Vella,Andorra,AD,Andorra la Vella,07,Q2522163,42.507222222,1.522222222,24042
3360277,Q24475,CITY,Ansalonga,Ansalonga,Andorra,AD,Ordino,05,Q24272,42.568443,1.521571,0
3341362,Q24551,CITY,Anyós,Anyós,Andorra,AD,La Massana,04,Q24276,42.53459167,1.54165,1006
3361293,Q24478,CITY,Arans,Arans,Andorra,AD,Ordino,05,Q24272,42.58333333,1.51666667,0
866,Q24554,CITY,Arinsal,Arinsal,Andorra,AD,La Massana,04,Q24276,42.57198,1.4847,1419
3394034,Q24650,CITY,Aubinyà,Aubinyà,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.4528,1.493,0
3292906,Q24641,CITY,Bixessarri,Bixessarri,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.48251111,1.45860833,0
3481376,Q4944722,CITY,Bordes d'Envalira,Bordes d'Envalira,Andorra,AD,Canillo,02,Q24260,42.56666667,1.61666667,0
3641313,Q386802,CITY,Canillo,Canillo,Andorra,AD,Canillo,02,Q24260,42.566667,1.6,3292
3852308,Q5034280,CITY,Canòlic,Canòlic,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.47444444,1.45194444,0
3403329,Q24630,CITY,Certés,Certés,Andorra,AD,Sant Julià de Lòria,06,Q24282,42.47527778,1.50583333,0
3851202,Q24379,CITY,El Forn,El Forn,Andorra,AD,Canillo,02,Q24260,42.53333333,1.56666667,99
408,Q24456,CITY,El Pas de la Casa,El Pas de la Casa,Andorra,AD,Encamp,03,Q24269,42.54277,1.73361,1927
3206457,Q24490,CITY,El Serrat,El Serrat,Andorra,AD,Ordino,05,Q24272,42.618123,1.538225,0
614,Q24413,CITY,El Tarter,El Tarter,Andorra,AD,Canillo,02,Q24260,42.58333333,1.65,747
3354198,Q24411,CITY,El Vilar,El Vilar,Andorra,AD,Canillo,02,Q24260,42.56666667,1.6,0
3489827,Q24417,CITY,Els Plans,Els Plans,Andorra,AD,Canillo,02,Q24260,42.580603,1.635486,38
