,Date,Startup Name,Industry,Sub-Vertical,City,Investors’ Name,Investment Type,Amount (In USD)
0,2016-02-17,The Viral Fever,Consumer Internet,Independent Online Video production company,Mumbai,Tiger Global,Private Equity,10
1,2015-01-19,CBS,Industry / Vertical,Sub-Vertical,City / Location,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
2,2015-01-19,Enabli,Industry / Vertical,Sub-Vertical,City / Location,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
3,2015-01-19,Yo Grad,Industry / Vertical,Sub-Vertical,City / Location,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
4,2015-01-19,Play your sport,Industry / Vertical,Sub-Vertical,City / Location,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
5,2015-01-19,Hostel Dunia,Industry / Vertical,Sub-Vertical,City / Location,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
6,2015-02-02,Leaf,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,"16,600"
7,2015-02-02,CleverSharks,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,"16,600"
8,2015-02-02,Dealwithus,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,"16,600"
9,2015-02-02,Chloroplast Foods,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,"16,600"
10,2015-02-02,InstaBounce,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,"16,600"
11,2015-02-02,Faaya,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed,"16,600"
12,2017-01-30,Maptags,Consumer Internet,Smart Online address tags,Bengaluru,The Ten Minute Million,Seed Funding,"18,000"
13,2015-07-08,33Coupons,Coupon Aggregator Platform,Coupon Aggregator Platform,Kanpur,Not Disclosed,Seed Funding,"20,000"
14,2016-02-02,Strike,Consumer Internet,Mobile Email productivity tool,Bengaluru,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500"
15,2016-02-02,Gamooz,Technology,Augmented Reality Solutions,Gurugram,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500"
16,2016-02-02,SoundSurround,Technology,Audio Technology Solutions,Mumbai,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500"
17,2016-02-02,MaaxMarket,Consumer Internet,Marketing Automation platform,,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500"
18,2017-01-30,Cloudrino,Technology,Cloud based Virtual Servers,Delhi,The Ten Minute Million,Seed Funding,"22,500"
19,2016-10-14,Newspatrolling,Consumer Internet,Online News portal,Delhi,Undisclosed,Seed Funding,"25,000"
20,2016-08-06,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,"27,000"
21,2016-02-03,Woodpie,Consumer Internet,Book Recommendation Service,Bengaluru,Ingram Content Group,Seed Funding,"30,000"
22,2017-03-07,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,"30,000"
23,2016-03-19,goSporto,Consumer Internet,Online Sports discovery and booking platform,Delhi,Naveen Gupta,Seed Funding,"30,000"
24,2016-02-04,Perfumery,ECommerce,Fragrances & Perfume eTailer,Delhi,Oranda Global & Others,Seed Funding,"30,000"
25,2016-06-13,Matrubharti,Consumer Internet,e-Book Publisher,,Viridian Capital,Seed Funding,"30,000"
26,2015-01-07,Stridalyzer,Industry / Vertical,Sub-Vertical,City / Location,Kickstarter,Crowd Funding,"30,768"
27,2016-02-22,Styledotme,Consumer Internet,Mobile Fashion App,Delhi,Indian Angel Network,Seed Funding,"37,000"
28,2017-11-27,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,"39,000"
29,2017-02-08,Edurev,Consumer Internet,Online Education Portal,Gurugram,Facebook FB Start programme,Seed Funding,"40,000"
30,2017-02-22,Vebbler,Consumer Internet,Photo Sharing for Groups,Bengaluru,Facebook FBStart,Seed Funding,"40,000"
31,2017-02-18,Blood n Care,Consumer Internet,First Aid care app,Gurugram,Facebook FBStart,Seed Funding,"40,000"
32,2017-02-17,Leopetra,ECommerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,"40,000"
33,2016-04-08,imedilane,Consumer Internet,Online Health Diagnosis platform,Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,"40,000"
34,2016-01-20,Moodoo,Consumer Internet,Social Meeting organizer App,Mumbai / UK,Saïd Business School Seed Fund.,Seed ,"40,000"
35,2016-08-08,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,"40,000"
36,2016-11-05,Medzin,ECommerce,Online ordering & Delivery of medicines,Delhi,A M Sikander,Seed Funding,"45,000"
37,2016-01-08,Gyaanzone,Education,Career Planning and Education Advisory Platform,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,"45,000"
38,2018-04-09,Kriger Campus,Ed-Tech,Mobile-Based Education Network,Delhi,,Seed / Angel Funding,"46,140"
39,2016-06-29,TrendieApp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,"50,000"
40,2016-06-24,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,"50,000"
41,2016-02-15,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,Gurugram,Mukesh Kumar Gupta,Seed Funding,"50,000"
42,2017-05-09,Curie Labs,Technology,Energy Analytics startup,Delhi,Satoshi Studios,Seed Funding,"50,000"
43,2015-10-14,AskMyGift,Personalized Wish List creator app,Personalized Wish List creator app,Noida,Turning Ideas,Seed Funding,"50,000"
44,2017-01-22,MessaGif,Consumer Internet,social messaging platform,Delhi,Undisclosed investor,Seed Funding,"50,000"
45,2016-12-20,VivoCarat,ECommerce,Online jewellery marketplace,Mumbai,Undisclosed Investors,Seed Funding,"50,000"
46,2017-12-11,Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bengaluru,Village Capital,Seed/Angel Funding,"50,000"
47,2017-12-11,Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,"50,000"
48,2017-03-29,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bengaluru,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,"50,000"
49,2016-02-05,DawaiLelo,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Varanasi,Undisclosed investors,Seed Funding,"52,000"
50,2017-01-30,FabX,ECommerce,Used Furniture Marketplace,Mumbai,The Ten Minute Million,Seed Funding,"68,000"
51,2016-02-25,Funcart,ECommerce,Party Supplies Etailer,Delhi,Undisclosed HNIs,Seed Funding,"70,000"
52,2015-10-09,Stockroom.io,Developer Portfolio Showcase platform,Developer Portfolio Showcase platform,Hyderabad,Undisclosed Investors,Seed Funding,"70,000"
53,2016-02-18,HealthKumbh,Consumer Internet,Health related Information portal,Ahmedabad,Undisclosed investor,Seed Funding,"73,000"
54,2016-06-03,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,"75,000"
55,2016-05-07,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,"75,000"
56,2015-10-09,Zeppery,Food Ordering & Delivery App,Food Ordering & Delivery App,Delhi,Suyash Sharma,Seed Funding,"77,000"
57,2015-10-14,Zappfresh,Raw Meat & Ready to eat food etailer,Raw Meat & Ready to eat food etailer,Gurugram,Undisclosed Investors,Seed Funding,"77,000"
58,2015-10-27,Happitoo,Location based Nightlife recommendation  Platform,Location based Nightlife recommendation  Platform,Mumbai,Unnamed investor,Seed Funding,"77,000"
59,2015-08-10,eSadar,ECommerce,ecommerce,Delhi,"Neha Vats, Gaurav Vats",Seed Funding,"80,000"
60,2018-01-12,Kuants,Technology,Algorithmic Trading,Gurugram,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,"80,000"
61,2015-10-30,BeaconsTalk,proximity marketing & Mobile Advertising platform,proximity marketing & Mobile Advertising platform,Mumbai,Puneet Bhatia & others,Seed Funding,"80,000"
62,2016-02-05,American Vision,Consumer Internet,Optical Store Aggregator Platform,Pune,Undisclosed investors,Seed Funding,"81,000"
63,2016-05-23,Hoppingo,Consumer Internet,Fashion Discovery platform,Delhi,vCommission,Seed Funding,"89,000"
64,2016-11-21,Bats on delivery,Consumer Internet,"Online food, Grocery ordering & Delivery",Gurugram,Devdeep Singh,Seed Funding,"90,000"
65,2017-02-27,Johari Shop,ECommerce,Online Jewellery etailer,Bengaluru,Undisclosed Investors,Seed Funding,"94,000"
66,2015-10-19,Holidify,Travel Destination Discovery platform,Travel Destination Discovery platform,Delhi,Aarti Group,Seed Funding,"100,000"
67,2015-08-11,RainCan,Subscription based Online Grocery platform,Subscription based Online Grocery platform,Pune,Ajeet Khurana & Others,Seed Funding,"100,000"
68,2015-10-21,MealHopper,Home Made Food Marketplace,Home Made Food Marketplace,Gurugram,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,"100,000"
69,2015-05-01,Termsheet,Fund Raising Platform,Fund Raising Platform,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,"100,000"
70,2015-02-05,Aisle.co,Industry / Vertical,Sub-Vertical,City / Location,"Anand Vijay, Shashank Mehrotra & Others",Seed,"100,000"
71,2015-11-23,Medikoe,Healthcare Services Discovery platform,Healthcare Services Discovery platform,Bengaluru,Anil Menon,Seed Funding,"100,000"
72,2015-09-04,Blubox,ECommerce Brands’ Full Service Agency,ECommerce Brands’ Full Service Agency,Mumbai,Ashish Jhalani,Seed Funding,"100,000"
73,2018-02-14,Toppr,Ed-Tech,Education/E-learning,Mumbai,Axis Capital Partners,Private Equity,"100,000"
74,2016-03-04,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurugram,"Daman Soni, Rajat Gupta & Others",Seed Funding,"100,000"
75,2016-03-23,Endless Robotics,Technology,Interior Painting Automation,Hyderabad,"Devidas Desai, Vipul Gautam, Singapore Angel Network",Seed Funding,"100,000"
76,2016-12-15,SERV’D,Consumer Internet,Financial Services For Unorganized Workforce,Pune,Digital Financial Service Lab,Seed Funding,"100,000"
77,2016-07-26,Big Deal,Consumer Internet,Student Deals Discovery Platform,Delhi,EVC Ventures,Seed Funding,"100,000"
78,2016-09-16,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,"100,000"
79,2015-12-04,CaRPM,Car Maintenance & Management mobile app,Car Maintenance & Management mobile app,Gurugram,GHV Accelerator,Seed Funding,"100,000"
80,2015-12-04,Applop,On Demand Mobile app developer,On Demand Mobile app developer,Kolkata,GHV Accelerator,Seed Funding,"100,000"
81,2015-08-26,PickMyLaundry,on-Demand Washing & Dry-Cleaning,on-Demand Washing & Dry-Cleaning,Delhi,GHV Accelerator,Seed Funding,"100,000"
82,2015-12-07,Coolshare,Cab Sharing service Mobile app,Cab Sharing service Mobile app,Mumbai,Gopal Aggarwal,Seed Funding,"100,000"
83,2015-09-11,FitMeIn,Gym & Fitness Studios Subscription platform,Gym & Fitness Studios Subscription platform,Delhi,Green House Ventures,Seed Funding,"100,000"
84,2015-06-03,MyTaxiIndia,Online Car Rental Affiliates,Online Car Rental Affiliates,Delhi,Green House Ventures,Seed Funding,"100,000"
85,2016-02-08,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Gurugram,Green House Ventures (GHV),Seed Funding,"100,000"
86,2016-02-08,AdUrCup,Consumer Internet,Ad Network,Delhi,Green House Ventures (GHV),Seed Funding,"100,000"
87,2016-02-03,RoadGods,ECommerce,Auto Spare Parts eTailer,Delhi,Green House Ventures (GHV),Seed Funding,"100,000"
88,2016-02-03,Pindropmusic,Consumer Internet,Music Discovery Mobile App,Noida,Green House Ventures (GHV),Seed Funding,"100,000"
89,2016-10-07,RayIOT,Technology,Baby Monitoring Devices manufacturer,Bengaluru,HAX Accelerator,Seed Funding,"100,000"
90,2015-08-14,VoxWeb,Picture based Social App,Picture based Social App,Mumbai,Jitendra Gupta & others,Seed Funding,"100,000"
91,2016-10-29,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Bengaluru,Kalaari Capital,Seed Funding,"100,000"
92,2016-08-24,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,"100,000"
93,2016-10-29,Volta Motors,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,"100,000"
94,2016-10-29,Velmenni,Technology,LiFi based wireless communication provider,Delhi,Kalaari Capital,Seed Funding,"100,000"
95,2016-05-18,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,"100,000"
96,2016-11-30,Interviewpad,Technology,Engineering Interview facilitation platform,Pune,Krishna Rokhale,Seed Funding,"100,000"
97,2016-10-25,SooperMO,Technology,Android utility app suite creator,Gurugram,Lalit Vase,Seed Funding,"100,000"
98,2015-10-12,Gridle,Cloud Based Collaboration platform,Cloud Based Collaboration platform,Ahmedabad,LetsVenture,Seed Funding,"100,000"
99,2017-06-16,Fincash,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,"100,000"
100,2016-01-07,Myly,Education,Mobile Based Education platform,Jaipur,Newbie Promoter Pvt Ltd,Seed Funding,"100,000"
101,2017-04-11,MergerWare,Technology,Software solutions for M&As,Bengaluru,Philippe Bouchet,Seed Funding,"100,000"
102,2015-03-27,Chargein,Industry / Vertical,Sub-Vertical,City / Location,Pittie Group,Seed Funding,"100,000"
103,2016-04-14,BeaconsTalk,Technology,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed Funding,"100,000"
104,2016-08-23,Notesgen,Consumer Internet,Online Notes Sharing Portal,Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,"100,000"
105,2016-01-05,MyChild App,Education,Child Disorder Information & Education,Bhopal,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,"100,000"
106,2016-01-13,Rentomo,Consumer Internet,peer-to-peer renting Marketplace,Bengaluru,Shiva Ashok & Other unnamed investors,Seed Funding,"100,000"
107,2015-03-27,Urjas,Industry / Vertical,Sub-Vertical,City / Location,Solidarity Venture Capital & others,Seed Funding,"100,000"
108,2016-05-25,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,"100,000"
109,2015-07-17,Omnikart,Industrial Supplies B2B ecommerce,Industrial Supplies B2B ecommerce,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,"100,000"
110,2015-09-01,TOFlo,FinTech Startup Incubation platform,FinTech Startup Incubation platform,Mumbai,Tania Johny Palathinkal,Seed Funding,"100,000"
111,2016-12-02,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,Delhi,Undisclosed,Seed Funding,"100,000"
112,2016-06-27,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bengaluru,Undisclosed investor,Seed Funding,"100,000"
113,2016-11-28,Kloseby,Consumer Internet,proximity based  Rewards platform,Bengaluru,Undisclosed Investor,Seed Funding,"100,000"
114,2016-06-07,Intgrea,Technology,Post merger Integration Partners,Bengaluru,Undisclosed Investor,Seed Funding,"100,000"
